"","Community","chiefOfficial","policyBoard","legislativeBody","city","cityCharter","policySize","legislativeSize","homeRule"
"172","Mashpee","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"173","Mattapoisett","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"174","Maynard","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"175","Medfield ","TA","Selectmen ","OTM",FALSE,NA,"3",NA,"1972"
"176","MEDFORD ","Mayor","","Council ",TRUE,"(A)",NA,"7",NA
"177","Medway","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"178","MELROSE ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"179","Mendon","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"180","Merrimac","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"181","METHUEN ","Mayor","","Council ",TRUE,NA,NA,"9","1972"
"182","Middleborough","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"183","Middlefield","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"184","Middleton ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1974"
"185","Milford","TA","Selectmen ","RTM",FALSE,NA,"3",NA,NA
"186","Millbury","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"187","Millis ","TA","Select Board ","OTM",FALSE,NA,"3",NA,"1977"
"188","Millville","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"189","Milton ","TA","Select Board ","RTM",FALSE,NA,"5",NA,"1927"
"190","Monroe","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"191","Monson","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"192","Montague","TA","Select Board ","RTM",FALSE,NA,"3",NA,NA
"193","Monterey","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"194","Montgomery","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"195","Mount Washington","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"196","Nahant ","TA","Selectmen ","OTM",FALSE,NA,"3",NA,"1980"
"197","Nantucket","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"198","Natick ","TA","Select Board ","RTM",FALSE,NA,"5",NA,"1980"
"199","Needham","TM","Select Board ","RTM",FALSE,NA,"5",NA,NA
"200","New Ashford","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"201","NEW BEDFORD ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"202","New Braintree","ES","Select Board ","OTM",FALSE,NA,"3",NA,NA
"203","Newbury","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"204","NEWBURYPORT  ","Mayor","","Council ",TRUE,"(B)",NA,"11","1919"
"205","New Marlborough","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"206","New Salem","TC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"207","NEWTON  ","Mayor","","Council ",TRUE,"(A)",NA,"24","1972"
"208","Norfolk","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"209","NORTH ADAMS ","Mayor","","Council ",TRUE,"(A)",NA,"9",NA
"210","NORTHAMPTON ","Mayor","","Council ",TRUE,"(B)",NA,"9",NA
"211","North Andover ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1986"
"212","NORTH ATTLEBOROUGH","TM","","Council ",TRUE,NA,NA,"9",NA
"213","Northborough ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1970"
"214","Northbridge","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"215","North Brookfield","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"216","Northfield","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"217","North Reading ","TA","Select Board ","OTM",FALSE,NA,"5",NA,"1970"
"218","Norton ","TM","Select Board ","OTM",FALSE,NA,"5",NA,"1989"
"219","Norwell ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1973"
"220","Norwood","GM","Selectmen ","RTM",FALSE,NA,"5",NA,NA
"221","Oak Bluffs","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"222","Oakham","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"223","Orange","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"224","Orleans ","TA","Select Board ","OTM",FALSE,NA,"5",NA,"1987"
"225","Otis","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"226","Oxford ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1972"
"227","PALMER ","TM","","Council ",TRUE,NA,NA,"7","2004"
"228","Paxton","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"229","PEABODY ","Mayor","","Council ",TRUE,"(D)",NA,"11",NA
"230","Pelham","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"231","Pembroke","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"232","Pepperell","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"233","Peru","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"234","Petersham","AC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"235","Phillipston","CAO","Select Board ","OTM",FALSE,NA,"3",NA,NA
"236","PITTSFIELD ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"237","Plainfield","AC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"238","Plainville","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"239","Plymouth ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1973"
"240","Plympton","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"241","Princeton","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"242","Provincetown ","TM","Select Board ","OTM",FALSE,NA,"5",NA,"1990"
"243","QUINCY ","Mayor","","Council ",TRUE,"(A)",NA,"9",NA
"244","RANDOLPH","TM","","Council ",TRUE,NA,NA,"9",NA
"245","Raynham","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"246","Reading ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1986"
"247","Rehoboth","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"248","REVERE ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"249","Richmond","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"250","Rochester","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"251","Rockland ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1970"
"252","Rockport","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"253","Rowe","ES","Select Board ","OTM",FALSE,NA,"3",NA,NA
"254","Rowley","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"255","Royalston","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"256","Russell","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"257","Rutland","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"258","SALEM ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"259","Salisbury ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1988"
"260","Sandisfield","TM","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"261","Sandwich","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"262","Saugus ","TM","Selectmen ","RTM",FALSE,NA,"5",NA,"1947"
"263","Savoy","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"264","Scituate ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1972"
"265","Seekonk ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1976"
"266","Sharon","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"267","Sheffield","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"268","Shelburne","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"269","Sherborn","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"270","Shirley","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"271","Shrewsbury","TM","Selectmen ","RTM",FALSE,NA,"5",NA,NA
"272","Shutesbury","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"273","Somerset","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
